time,open,high,low,close,tick_volume,spread,real_volume,point
2025-05-07,3400.723,3401.666,3360.068,3376.488,356702,0,0,0.001
2025-05-08,3376.515,3414.851,3288.697,3316.412,386854,0,0,0.001
2025-05-09,3316.448,3347.556,3274.664,3326.805,269780,0,0,0.001
2025-05-11,3282.255,3292.6,3265.847,3287.561,32302,0,0,0.001
2025-05-12,3287.506,3290.026,3207.693,3236.858,398375,0,0,0.001
2025-05-13,3236.906,3265.659,3215.88,3254.41,262784,0,0,0.001
2025-05-14,3254.388,3254.658,3167.933,3186.127,311954,0,0,0.001
2025-05-15,3186.011,3252.105,3120.65,3237.15,310528,0,0,0.001
2025-05-16,3237.175,3244.613,3154.289,3202.217,312821,0,0,0.001
2025-05-18,3214.226,3245.252,3211.713,3234.91,28622,0,0,0.001
2025-05-19,3234.947,3249.812,3206.584,3222.532,266776,0,0,0.001
2025-05-20,3222.561,3304.072,3204.521,3290.695,274582,0,0,0.001
2025-05-21,3290.734,3324.897,3285.42,3320.085,284144,0,0,0.001
2025-05-22,3320.121,3345.472,3279.252,3294.51,279761,0,0,0.001
